"","X","abv","ibu","id","name","style","brewery_id","ounces"
"236",843,0.047,42,1223,"All Day IPA","American IPA",15,12
"237",844,0.076,73,1874,"El Chingon IPA","American IPA",287,12
"238",846,0.052,20,1872,"Local Buzz","American Blonde Ale",287,12
"239",850,0.064,90,2610,"The Gadget","American IPA",22,16
"240",856,0.067,47,358,"Hop Knot IPA","American IPA",160,12
"241",860,0.05,28,2427,"Suncaster Summer Wheat","American Pale Wheat Ale",105,12
"242",861,0.057,36,2425,"Brass Knuckle Pale Ale","American Pale Ale (APA)",105,12
"243",864,0.069,69,1556,"Batch 69 IPA","American IPA",253,12
"244",872,0.059,70,2521,"Soul Doubt","American IPA",66,12
"245",878,0.065,45,875,"Fremont Summer Ale","American Pale Ale (APA)",460,12
"246",879,0.056,30,858,"Universale Pale Ale","American Pale Ale (APA)",460,12
"247",880,0.065,80,857,"Interurban IPA","American IPA",460,12
"248",884,0.07,73,2254,"Salamander Slam","American IPA",180,16
"249",886,0.072,50,2077,"No Wake IPA","American IPA",228,12
"250",887,0.049,15,2076,"Boathouse Blonde","American Blonde Ale",228,12
"251",888,0.05,26,2075,"Cedar Point","American Amber / Red Ale",228,12
"252",889,0.067,70,2426,"Clean Shave IPA","American IPA",106,12
"253",892,0.074,74,1777,"2020 IPA","American IPA",240,16
"254",893,0.08,70,1698,"Wolf Among Weeds IPA","American IPA",240,16
"255",894,0.094,92,1641,"Better Weather IPA","American IPA",240,16
"256",895,0.059,60,1490,"Point the Way IPA","American IPA",240,16
"257",897,0.068,65,1399,"Heal the Bay IPA","American IPA",240,16
"258",898,0.059,60,1296,"Point the Way IPA","American IPA",240,12
"259",901,0.08,70,750,"Burning Bush Smoked IPA","American IPA",240,16
"260",902,0.08,70,749,"Wolf Among Weeds IPA (2012)","American IPA",240,16
"261",903,0.059,60,549,"Point the Way IPA (2012)","American IPA",240,16
"262",906,0.07,70,1109,"Descender IPA","American IPA",464,12
"263",907,0.06,18,1108,"Sweet As Pacific Ale","American Pale Wheat Ale",464,12
"264",908,0.056,36,1000,"Good People Pale Ale","American Pale Ale (APA)",478,12
"265",909,0.093,103,312,"Snake Handler Double IPA","American Double / Imperial IPA",478,12
"266",911,0.06,64,309,"Good People IPA","American IPA",478,12
"267",913,0.055,40,2205,"Mountain Rescue Pale Ale","American Pale Ale (APA)",194,12
"268",914,0.059,55,2198,"Goose Island India Pale Ale","American IPA",196,12
"269",915,0.054,30,2457,"312 Urban Pale Ale","American Pale Ale (APA)",88,16
"270",916,0.054,30,2202,"312 Urban Pale Ale","American Pale Ale (APA)",88,12
