"","abv","ibu","id","name","style","brewery_id","ounces","city","state","lon","lat","brewery"
"380",0.06,25,1672,"Riverwalk Blonde Ale","American Blonde Ale",346,12,"Santee"," CA",-116.9739167,32.8383828,"Manzanita Brewing Company"
"381",0.066,44,1670,"Manzanita Pale Ale","American Pale Ale (APA)",346,12,"Santee"," CA",-116.9739167,32.8383828,"Manzanita Brewing Company"
"382",0.05,35,2197,"Rubberneck Red","American Amber / Red Ale",161,16,"Fort Worth"," TX",-97.3307658,32.7554883,"Martin House Brewing Company"
"383",0.065,60,1831,"Our Legacy IPA","American IPA",299,12,"Utica"," NY",-75.232664,43.100903,"Matt Brewing Company"
"384",0.065,60,1135,"Our Legacy IPA","American IPA",299,16,"Utica"," NY",-75.232664,43.100903,"Matt Brewing Company"
"385",0.05,12,773,"Blueberry Blonde Ale","American Blonde Ale",299,12,"Utica"," NY",-75.232664,43.100903,"Matt Brewing Company"
"386",0.06,24,690,"Sobrehumano Palena'ole","American Amber / Red Ale",375,12,"Lahaina"," HI",-156.6825,20.8783333,"Maui Brewing Company"
"387",0.068,68,435,"Flyin' HI.P.Hay","American IPA",375,12,"Lahaina"," HI",-156.6825,20.8783333,"Maui Brewing Company"
"388",0.055,15,313,"Mana Wheat","American Pale Wheat Ale",375,12,"Lahaina"," HI",-156.6825,20.8783333,"Maui Brewing Company"
"389",0.062,65,31,"Big Swell IPA","American IPA",375,12,"Lahaina"," HI",-156.6825,20.8783333,"Maui Brewing Company"
"390",0.037,53,1047,"Back in the Saddle Rye Pale Ale","American Pale Ale (APA)",448,12,"Half Moon Bay"," CA",-122.4285862,37.4635519,"Mavericks Beer Company"
"391",0.072,75,2186,"Tsunami IPA","American IPA",203,19.2,"Hilo"," HI",-155.0884869,19.7070942,"Mehana Brewing Co."
"392",0.072,75,2185,"Tsunami IPA","American IPA",203,12,"Hilo"," HI",-155.0884869,19.7070942,"Mehana Brewing Co."
"393",0.042,22,2184,"Humpback Blonde Ale","American Blonde Ale",203,12,"Hilo"," HI",-155.0884869,19.7070942,"Mehana Brewing Co."
"394",0.052,23,2177,"Volcano Red Ale","American Amber / Red Ale",203,12,"Hilo"," HI",-155.0884869,19.7070942,"Mehana Brewing Co."
"395",0.054,42,2176,"Mauna Kea Pale Ale","American Pale Ale (APA)",203,12,"Hilo"," HI",-155.0884869,19.7070942,"Mehana Brewing Co."
"396",0.071,62,1506,"Miami Vice IPA","American IPA",393,12,"Miami"," FL",-80.1917902,25.7616798,"Miami Brewing Company"
"397",0.053,16,1325,"Big Rod Coconut Ale","American Blonde Ale",393,12,"Miami"," FL",-80.1917902,25.7616798,"Miami Brewing Company"
"398",0.063,61,2093,"Pleasure Town","American IPA",223,12,"Anchorage"," AK",-149.9002778,61.2180556,"Midnight Sun Brewing Company"
"399",0.063,61,1814,"Pleasure Town IPA","American IPA",223,12,"Anchorage"," AK",-149.9002778,61.2180556,"Midnight Sun Brewing Company"
"400",0.057,70,434,"Sockeye Red IPA","American IPA",223,12,"Anchorage"," AK",-149.9002778,61.2180556,"Midnight Sun Brewing Company"
"401",0.08,100,2668,"Habitus (2014)","American Double / Imperial IPA",3,16,"San Diego"," CA",-117.1610838,32.715738,"Mike Hess Brewing Company"
"402",0.075,85,2667,"Solis","American IPA",3,16,"San Diego"," CA",-117.1610838,32.715738,"Mike Hess Brewing Company"
"403",0.08,100,2664,"Habitus","American Double / Imperial IPA",3,16,"San Diego"," CA",-117.1610838,32.715738,"Mike Hess Brewing Company"
"404",0.087,80,1884,"Hop Freak","American Double / Imperial IPA",284,16,"Milwaukee"," WI",-87.9064736,43.0389025,"Milwaukee Brewing Company"
"405",0.051,24,1272,"Louie's Demise Amber Ale","American Amber / Red Ale",284,16,"Milwaukee"," WI",-87.9064736,43.0389025,"Milwaukee Brewing Company"
"406",0.075,51,1080,"Hop Happy","American IPA",284,16,"Milwaukee"," WI",-87.9064736,43.0389025,"Milwaukee Brewing Company"
"407",0.051,24,171,"Louie’s Demise Immort-Ale (2010)","American Amber / Red Ale",284,16,"Milwaukee"," WI",-87.9064736,43.0389025,"Milwaukee Brewing Company"
"408",0.068,66,2441,"Mission IPA","American IPA",98,32,"San Diego"," CA",-117.1610838,32.715738,"Mission Brewery"
"409",0.048,44,1460,"El Conquistador Extra Pale Ale","American Pale Ale (APA)",98,32,"San Diego"," CA",-117.1610838,32.715738,"Mission Brewery"
"410",0.092,75,1459,"Shipwrecked Double IPA","American Double / Imperial IPA",98,32,"San Diego"," CA",-117.1610838,32.715738,"Mission Brewery"
"411",0.075,85,2159,"City of the Sun","American IPA",209,16,"San Diego"," CA",-117.1610838,32.715738,"Modern Times Beer"
"412",0.068,75,2157,"Booming Rollers","American IPA",209,16,"San Diego"," CA",-117.1610838,32.715738,"Modern Times Beer"
"413",0.052,50,2156,"Oneida","American Pale Ale (APA)",209,16,"San Diego"," CA",-117.1610838,32.715738,"Modern Times Beer"
"414",0.067,75,2154,"Aurora ","American Amber / Red Ale",209,16,"San Diego"," CA",-117.1610838,32.715738,"Modern Times Beer"
"415",0.047,46,1494,"Fortunate Islands","American Pale Wheat Ale",209,16,"San Diego"," CA",-117.1610838,32.715738,"Modern Times Beer"
"416",0.065,115,1492,"Blazing World","American Amber / Red Ale",209,16,"San Diego"," CA",-117.1610838,32.715738,"Modern Times Beer"
"417",0.056,28,1907,"Montauk Summer Ale","American Blonde Ale",276,12,"Montauk"," NY",-71.9545146,41.0359353,"Montauk Brewing Company"
"418",0.047,14,1052,"Honey Wheat","American Pale Wheat Ale",326,12,"Saint Louis"," MO",-90.1994042,38.6270025,"Morgan Street Brewery"
"419",0.052,21,2237,"Towhead","American Blonde Ale",188,12,"Springfield"," MO",-89.6501481,39.7817213,"Mother's Brewing"
"420",0.07,70,2208,"Lil' Helper","American IPA",188,12,"Springfield"," MO",-89.6501481,39.7817213,"Mother's Brewing"
"421",0.053,10,421,"Mustang Golden Ale","American Blonde Ale",366,12,"Mustang"," OK",-97.7244867,35.384226,"Mustang Brewing Company"
"422",0.053,14,420,"Washita Wheat","American Pale Wheat Ale",366,12,"Mustang"," OK",-97.7244867,35.384226,"Mustang Brewing Company"
"423",0.042,24,1093,"Narragansett Summer Ale","American Pale Wheat Ale",143,12,"Providence"," RI",-71.4128343,41.8239891,"Narragansett Brewing Company"
"424",0.042,24,403,"Narragansett Summer Ale","American Pale Wheat Ale",143,16,"Providence"," RI",-71.4128343,41.8239891,"Narragansett Brewing Company"
"425",0.085,86,1265,"Old Grogham Imperial India Pale Ale","American Double / Imperial IPA",387,16,"Portland"," OR",-122.6764816,45.5230622,"Natian Brewery"
"426",0.085,86,747,"Old Grogham Imperial India Pale Ale (2012)","American Double / Imperial IPA",387,16,"Portland"," OR",-122.6764816,45.5230622,"Natian Brewery"
"427",0.065,65,1148,"Nebraska India Pale Ale","American IPA",337,12,"Papillion"," NE",-96.0422378,41.1544432,"Nebraska Brewing Company"
"428",0.057,29,1145,"Cardinal Pale Ale","American Pale Ale (APA)",337,12,"Papillion"," NE",-96.0422378,41.1544432,"Nebraska Brewing Company"
"429",0.045,40,2475,"Slow Ride","American IPA",82,12,"Fort Collins"," CO",-105.084423,40.5852602,"New Belgium Brewing Company"
"430",0.065,70,2230,"Ranger IPA","American IPA",82,12,"Fort Collins"," CO",-105.084423,40.5852602,"New Belgium Brewing Company"
"431",0.052,18,1586,"Fat Tire Amber Ale","American Amber / Red Ale",82,12,"Fort Collins"," CO",-105.084423,40.5852602,"New Belgium Brewing Company"
"432",0.052,18,748,"Fat Tire Amber Ale (2011)","American Amber / Red Ale",82,12,"Fort Collins"," CO",-105.084423,40.5852602,"New Belgium Brewing Company"
"433",0.065,70,564,"Ranger IPA","American IPA",82,16,"Fort Collins"," CO",-105.084423,40.5852602,"New Belgium Brewing Company"
"434",0.052,18,563,"Fat Tire Amber Ale","American Amber / Red Ale",82,16,"Fort Collins"," CO",-105.084423,40.5852602,"New Belgium Brewing Company"
"435",0.065,70,115,"Ranger IPA (Current)","American IPA",82,12,"Fort Collins"," CO",-105.084423,40.5852602,"New Belgium Brewing Company"
"436",0.052,18,71,"Fat Tire Amber Ale (2008)","American Amber / Red Ale",82,12,"Fort Collins"," CO",-105.084423,40.5852602,"New Belgium Brewing Company"
"437",0.088,85,320,"Gandhi-Bot Double IPA (12 oz.)","American Double / Imperial IPA",410,12,"Woodbridge"," CT",-77.2497049,38.6581722,"New England Brewing Company"
"438",0.088,85,42,"Gandhi-Bot Double IPA (16 oz.) (2010)","American Double / Imperial IPA",410,16,"Woodbridge"," CT",-77.2497049,38.6581722,"New England Brewing Company"
"439",0.056,30,2042,"Kadigan","American Blonde Ale",241,12,"College Station"," TX",-96.3344068,30.627977,"New Republic Brewing Company"
"440",0.052,50,2041,"Dammit Jim!","American Amber / Red Ale",241,12,"College Station"," TX",-96.3344068,30.627977,"New Republic Brewing Company"
"441",0.051,31,1622,"Jam Session","American Pale Ale (APA)",359,16,"Charlotte"," NC",-80.8431267,35.2270869,"NoDa Brewing Company"
"442",0.072,80,1621,"Hop Drop 'N Roll IPA","American IPA",359,16,"Charlotte"," NC",-80.8431267,35.2270869,"NoDa Brewing Company"
"443",0.045,50,2692,"Get Together","American IPA",0,16,"Minneapolis"," MN",-93.2650108,44.977753,"NorthGate Brewing "
"444",0.063,42,1226,"Three Skulls Ale Pale Ale","American Pale Ale (APA)",450,16,"Pacific"," WA",-122.2501201,47.2645452,"Northwest Brewing Company"
"445",0.061,66,1258,"5 Day IPA","American IPA",442,12,"O'Fallon"," MO",-90.6998477,38.8106075,"O'Fallon Brewery"
"446",0.067,70,2331,"Watershed IPA","American IPA",150,12,"Eugene"," OR",-123.0867536,44.0520691,"Oakshire Brewing"
"447",0.054,24,1669,"Oakshire Amber Ale","American Amber / Red Ale",150,12,"Eugene"," OR",-123.0867536,44.0520691,"Oakshire Brewing"
"448",0.067,70,999,"Watershed IPA (2013)","American IPA",150,12,"Eugene"," OR",-123.0867536,44.0520691,"Oakshire Brewing"
"449",0.048,35,2069,"Slow Ride","American Pale Ale (APA)",184,12,"Austin"," TX",-97.7430608,30.267153,"Oasis Texas Brewing Company"
"450",0.05,45,602,"Boji Blue Pale Ale","American Pale Ale (APA)",471,16,"Spirit Lake"," IA",-122.1337072,46.2743029,"Okoboji Brewing Company"
"451",0.049,35,2302,"Pinner Throwback IPA","American IPA",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"452",0.065,65,1444,"Dale's Pale Ale","American Pale Ale (APA)",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"453",0.065,65,1252,"Dale's Pale Ale","American Pale Ale (APA)",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"454",0.065,65,955,"Dale's Pale Ale","American Pale Ale (APA)",166,19.2,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"455",0.065,65,892,"Dale's Pale Ale (10 Year Anniversary)","American Pale Ale (APA)",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"456",0.065,65,828,"Dale's Pale Ale (2012)","American Pale Ale (APA)",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"457",0.087,85,806,"Gordon Imperial Red (2010)","American Double / Imperial IPA",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"458",0.065,65,755,"Dale's Pale Ale (2011)","American Pale Ale (APA)",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"459",0.065,65,754,"Dale's Pale Ale (2010)","American Pale Ale (APA)",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"460",0.087,85,726,"G'KNIGHT (16 oz.)","American Double / Imperial IPA",166,16,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"461",0.09,60,391,"One Hit Wonder","American Double / Imperial IPA",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"462",0.087,85,388,"G'KNIGHT (12 oz.)","American Double / Imperial IPA",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"463",0.099,100,6,"GUBNA Imperial IPA","American Double / Imperial IPA",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"464",0.087,85,4,"Gordon Ale (2009)","American Double / Imperial IPA",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"465",0.065,65,1,"Dale's Pale Ale","American Pale Ale (APA)",166,12,"Longmont"," CO",-105.1019275,40.1672068,"Oskar Blues Brewery"
"466",0.092,85,805,"Gordon (2005)","American Double / Imperial IPA",503,12,"Lyons"," CO",-87.8181128,41.8133651,"Oskar Blues Brewery"
"467",0.065,65,745,"Dale's Pale Ale (2008)","American Pale Ale (APA)",503,12,"Lyons"," CO",-87.8181128,41.8133651,"Oskar Blues Brewery"
"468",0.065,65,744,"Dale's Pale Ale (2006)","American Pale Ale (APA)",503,12,"Lyons"," CO",-87.8181128,41.8133651,"Oskar Blues Brewery"
"469",0.065,65,743,"Dale's Pale Ale (2004)","American Pale Ale (APA)",503,12,"Lyons"," CO",-87.8181128,41.8133651,"Oskar Blues Brewery"
"470",0.065,65,742,"Dale's Pale Ale (2003)","American Pale Ale (APA)",503,12,"Lyons"," CO",-87.8181128,41.8133651,"Oskar Blues Brewery"
"471",0.065,65,741,"Dale's Pale Ale (2002)","American Pale Ale (APA)",503,12,"Lyons"," CO",-87.8181128,41.8133651,"Oskar Blues Brewery"
"472",0.087,60,733,"Gordon Beer (2006)","American Double / Imperial IPA",503,12,"Lyons"," CO",-87.8181128,41.8133651,"Oskar Blues Brewery"
"473",0.087,85,1533,"G'KNIGHT","American Double / Imperial IPA",389,12,"Brevard"," NC",-82.7342919,35.2334472,"Oskar Blues Brewery (North Carol..."
"474",0.08,85,1328,"Deviant Dale's IPA","American Double / Imperial IPA",389,16,"Brevard"," NC",-82.7342919,35.2334472,"Oskar Blues Brewery (North Carol..."
"475",0.065,65,1166,"Dale's Pale Ale","American Pale Ale (APA)",389,19.2,"Brevard"," NC",-82.7342919,35.2334472,"Oskar Blues Brewery (North Carol..."
"476",0.065,65,1065,"Dale's Pale Ale","American Pale Ale (APA)",389,12,"Brevard"," NC",-82.7342919,35.2334472,"Oskar Blues Brewery (North Carol..."
"477",0.055,55,1946,"Overgrown American Pale Ale","American Pale Ale (APA)",261,12,"Waterbury"," VT",-73.0514965,41.5581525,"Otter Creek Brewing"
"478",0.04,39,1961,"Ozark American Pale Ale","American Pale Ale (APA)",259,12,"Rogers"," AR",-73.5714286,45.5027658,"Ozark Beer Company"
"479",0.053,48,697,"Stimulator Pale Ale","American Pale Ale (APA)",441,16,"Fort Collins"," CO",-105.084423,40.5852602,"Pateros Creek Brewing Company"
"480",0.042,35,1805,"Rodeo Rye Pale Ale","American Pale Ale (APA)",307,12,"Garden City"," ID",-73.6342954,40.7267682,"Payette Brewing Company"
"481",0.062,65,1048,"Outlaw IPA","American IPA",307,12,"Garden City"," ID",-73.6342954,40.7267682,"Payette Brewing Company"
"482",0.048,35,890,"Payette Pale Ale","American Pale Ale (APA)",307,12,"Garden City"," ID",-73.6342954,40.7267682,"Payette Brewing Company"
"483",0.05,61,1930,"Summer Session Ale","American Pale Wheat Ale",266,12,"Portland"," ME",-122.6764816,45.5230622,"Peak Organic Brewing Company"
"484",0.065,77,2175,"Mound Builder IPA","American IPA",205,12,"Lafayette"," IN",-86.8752869,40.4167022,"People's Brewing Company"
"485",0.062,62,2168,"Amazon Princess IPA","American IPA",205,12,"Lafayette"," IN",-86.8752869,40.4167022,"People's Brewing Company"
"486",0.048,15,2632,"Gold","American Blonde Ale",13,12,"Comstock Park"," MI",-85.6700332,43.0386368,"Perrin Brewing Company"
"487",0.065,65,2630,"98 Problems (Cuz A Hop Ain't One)","American IPA",13,12,"Comstock Park"," MI",-85.6700332,43.0386368,"Perrin Brewing Company"
"488",0.05,40,2629,"Veteran’s Pale Ale (VPA)","American Pale Ale (APA)",13,12,"Comstock Park"," MI",-85.6700332,43.0386368,"Perrin Brewing Company"
"489",0.05,35,2628,"Grapefruit IPA","American IPA",13,12,"Comstock Park"," MI",-85.6700332,43.0386368,"Perrin Brewing Company"
"490",0.059,25,1404,"North 45 Amber Ale","American Amber / Red Ale",11,16,"Petoskey"," MI",-84.9553296,45.3733428,"Petoskey Brewing"
"491",0.067,74,1402,"Mind's Eye PA","American IPA",11,16,"Petoskey"," MI",-84.9553296,45.3733428,"Petoskey Brewing"
"492",0.061,60,2312,"Camelback","American IPA",157,12,"Phoenix"," AZ",-112.0740373,33.4483771,"Phoenix Ale Brewery"
"493",0.07,75,1384,"Elephant Rock IPA","American IPA",355,12,"Monument"," CO",-104.872758,39.0916586,"Pikes Peak Brewing Company"
"494",0.045,18,1335,"Float Trip Ale","American Blonde Ale",314,16,"Bucryus"," MO",-82.9754649,40.8083909,"Piney River Brewing Company"
"495",0.055,20,521,"McKinney Eddy Amber Ale","American Amber / Red Ale",314,16,"Bucryus"," MO",-82.9754649,40.8083909,"Piney River Brewing Company"
"496",0.07,70,479,"Missouri Mule India Pale Ale","American IPA",314,16,"Bucryus"," MO",-82.9754649,40.8083909,"Piney River Brewing Company"
"497",0.069,51,1760,"GreyBeard™ IPA","American IPA",324,12,"Black Mountain"," NC",-82.3212302,35.6178951,"Pisgah Brewing Company"
"498",0.057,31,1759,"Pisgah Pale Ale","American Pale Ale (APA)",324,12,"Black Mountain"," NC",-82.3212302,35.6178951,"Pisgah Brewing Company"
"499",0.054,45,2553,"Mazzie","American Pale Ale (APA)",55,12,"Lemont"," IL",-88.0017261,41.673642,"Pollyanna Brewing Company"
"500",0.059,14,2360,"Morning Wood Wheat (Current)","American Pale Wheat Ale",135,12,"Dillon"," CO",-106.0433518,39.6302643,"Pug Ryan's Brewery"
"501",0.057,68,711,"Over the Rail Pale Ale","American Pale Ale (APA)",135,12,"Dillon"," CO",-106.0433518,39.6302643,"Pug Ryan's Brewery"
"502",0.059,14,130,"Morning Wood Wheat (Current)","American Pale Wheat Ale",135,12,"Dillon"," CO",-106.0433518,39.6302643,"Pug Ryan's Brewery"
"503",0.058,60,2229,"Pride of Texas Pale Ale","American Pale Ale (APA)",176,12,"Fort Worth"," TX",-97.3307658,32.7554883,"Rahr & Sons Brewing Company"
"504",0.051,21,1718,"Firemans #4 Blonde Ale (2013)","American Blonde Ale",128,12,"Blanco"," TX",-98.4214095,30.0979862,"Real Ale Brewing Company"
"505",0.06,50,1086,"Four Squared (2015)","American Blonde Ale",128,12,"Blanco"," TX",-98.4214095,30.0979862,"Real Ale Brewing Company"
"506",0.051,21,830,"Firemans #4 Blonde Ale (2015)","American Blonde Ale",128,12,"Blanco"," TX",-98.4214095,30.0979862,"Real Ale Brewing Company"
"507",0.062,55,938,"Gangway IPA","American IPA",475,12,"Marietta"," GA",-84.5499327,33.952602,"Red Hare Brewing Company"
"508",0.051,17,2516,"Farmer's Daughter Blonde","American Blonde Ale",68,16,"Mt. Airy"," MD",-80.6072858,36.4993007,"Red Shedman Farm Brewery and Hop..."
"509",0.055,45,2515,"Pump House IPA","American IPA",68,16,"Mt. Airy"," MD",-80.6072858,36.4993007,"Red Shedman Farm Brewery and Hop..."
"510",0.065,44,945,"Long Hammer IPA","American IPA",487,16,"Woodinville"," WA",-122.1634582,47.7542651,"Redhook Brewery"
"511",0.065,44,583,"Long Hammer IPA","American IPA",487,12,"Woodinville"," WA",-122.1634582,47.7542651,"Redhook Brewery"
"512",0.058,27,339,"Copper Hook (2011)","American Amber / Red Ale",487,12,"Woodinville"," WA",-122.1634582,47.7542651,"Redhook Brewery"
"513",0.05,40,2414,"Consilium","American Pale Ale (APA)",110,12,"Denver"," CO",-104.990251,39.7392358,"Renegade Brewing Company"
"514",0.07,100,1176,"Redacted Rye IPA","American IPA",110,16,"Denver"," CO",-104.990251,39.7392358,"Renegade Brewing Company"
"515",0.099,100,1006,"Elevation Triple India Pale Ale","American Double / Imperial IPA",110,12,"Denver"," CO",-104.990251,39.7392358,"Renegade Brewing Company"
"516",0.05,25,1005,"5:00 O'Clock Afternoon Ale","American Blonde Ale",110,16,"Denver"," CO",-104.990251,39.7392358,"Renegade Brewing Company"
"517",0.07,100,636,"Ryeteous Rye IPA (2012)","American IPA",110,16,"Denver"," CO",-104.990251,39.7392358,"Renegade Brewing Company"
"518",0.055,40,2576,"Fist City","American Pale Ale (APA)",44,12,"Chicago"," IL",-87.6297982,41.8781136,"Revolution Brewing Company"
"519",0.065,70,415,"Anti-Hero IPA","American IPA",44,12,"Chicago"," IL",-87.6297982,41.8781136,"Revolution Brewing Company"
"520",0.057,42,2452,"Hustle","American Amber / Red Ale",93,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Rhinegeist Brewery"
"521",0.055,42,2451,"Pure Fury","American Pale Ale (APA)",93,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Rhinegeist Brewery"
"522",0.06,60,2132,"Dad","American Amber / Red Ale",93,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Rhinegeist Brewery"
"523",0.043,45,1935,"Zen","American Pale Ale (APA)",93,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Rhinegeist Brewery"
"524",0.072,75,1852,"Truth","American IPA",93,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Rhinegeist Brewery"
"525",0.048,25,1851,"Cougar","American Blonde Ale",93,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Rhinegeist Brewery"
"526",0.05,55,1771,"Lil SIPA","American IPA",321,16,"Lockland"," OH",-84.4577201,39.2292249,"Rivertown Brewing Company"
"527",0.055,60,1654,"Hop Bomber Rye Pale Ale","American Pale Ale (APA)",321,16,"Lockland"," OH",-84.4577201,39.2292249,"Rivertown Brewing Company"
"528",0.05,100,2579,"Jah Mon","American IPA",43,12,"Export"," PA",-79.6255989,40.4181235,"Rivertowne Brewing Company"
"529",0.07,80,1576,"RoughTail IPA","American IPA",376,16,"Midwest City"," OK",-97.3967019,35.4495065,"RoughTail Brewing Company"
"530",0.056,35,1479,"1881 California Red","American Amber / Red Ale",397,12,"Sacramento"," CA",-121.4943996,38.5815719,"Ruhstaller Beer Company"
"531",0.056,35,882,"1881 California Red Ale","American Amber / Red Ale",397,16,"Sacramento"," CA",-121.4943996,38.5815719,"Ruhstaller Beer Company"
"532",0.068,66,1867,"Saint Archer IPA","American IPA",288,12,"San Diego"," CA",-117.1610838,32.715738,"Saint Archer Brewery"
"533",0.052,40,1865,"Saint Archer Pale Ale","American Pale Ale (APA)",288,12,"San Diego"," CA",-117.1610838,32.715738,"Saint Archer Brewery"
"534",0.091,99,2063,"Count Hopula (Vault Series)","American Double / Imperial IPA",30,16,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"535",0.05,15,1934,"SunSpot Golden Ale","American Blonde Ale",30,12,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"536",0.055,20,1073,"Epicenter Amber Ale","American Amber / Red Ale",30,12,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"537",0.07,85,1071,"Hop Shock IPA","American IPA",30,12,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"538",0.055,45,850,"Devil’s Ale","American Pale Ale (APA)",30,12,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"539",0.055,45,764,"American Idiot Ale (2012)","American Pale Ale (APA)",30,12,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"540",0.07,85,317,"Hop Shock IPA (2010)","American IPA",30,12,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"541",0.055,45,285,"Devil’s Ale (2010)","American Pale Ale (APA)",30,12,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"542",0.055,20,124,"Epicenter Amber Ale (2010)","American Amber / Red Ale",30,12,"Chandler"," AZ",-111.8412502,33.3061605,"SanTan Brewing Company"
"543",0.089,88,2002,"Giant DIPA","American Double / Imperial IPA",252,16,"Santa Cruz"," CA",-122.0307963,36.9741171,"Santa Cruz Mountain Brewing"
"544",0.05,11,1477,"Oval Beach Blonde Ale","American Blonde Ale",398,16,"Douglas"," MI",-82.8498654,31.5088073,"Saugatuck Brewing Company"
"545",0.05,45,1324,"Schlafly Yakima Wheat Ale","American Pale Wheat Ale",428,12,"Saint Louis"," MO",-90.1994042,38.6270025,"Schlafly Brewing Company"
"546",0.045,30,1078,"Schlafly IPA","American IPA",428,12,"Saint Louis"," MO",-90.1994042,38.6270025,"Schlafly Brewing Company"
"547",0.074,60,1302,"Blur India Pale Ale","American IPA",432,12,"Santa Cruz"," CA",-122.0307963,36.9741171,"Seabright Brewery"
"548",0.07,105,918,"Frankenlou's IPA","American IPA",494,16,"Silverton"," OR",-107.6645057,37.811941,"Seven Brides Brewery"
"549",0.077,40,1767,"Seventh Son Hopped Red Ale","American Amber / Red Ale",183,16,"Columbus"," OH",-82.9987942,39.9611755,"Seventh Son Brewing Company"
"550",0.06,53,1766,"Humulus Nimbus Super Pale Ale","American Pale Ale (APA)",183,16,"Columbus"," OH",-82.9987942,39.9611755,"Seventh Son Brewing Company"
"551",0.07,68,1765,"Golden Ratio IPA","American IPA",183,16,"Columbus"," OH",-82.9987942,39.9611755,"Seventh Son Brewing Company"
"552",0.069,65,1539,"Monkey Fist IPA","American IPA",385,12,"Portland"," ME",-122.6764816,45.5230622,"Shipyard Brewing Company"
"553",0.072,65,2239,"Torpedo","American IPA",83,12,"Chico"," CA",-121.8374777,39.7284944,"Sierra Nevada Brewing Company"
"554",0.056,37,1905,"Sierra Nevada Pale Ale","American Pale Ale (APA)",83,16,"Chico"," CA",-121.8374777,39.7284944,"Sierra Nevada Brewing Company"
"555",0.048,26,1338,"Old Chico Crystal Wheat","American Pale Wheat Ale",83,12,"Chico"," CA",-121.8374777,39.7284944,"Sierra Nevada Brewing Company"
"556",0.072,65,426,"Torpedo","American IPA",83,16,"Chico"," CA",-121.8374777,39.7284944,"Sierra Nevada Brewing Company"
"557",0.056,37,400,"Sierra Nevada Pale Ale","American Pale Ale (APA)",83,12,"Chico"," CA",-121.8374777,39.7284944,"Sierra Nevada Brewing Company"
"558",0.065,62,2090,"Bengali","American IPA",46,24,"Brooklyn"," NY",-73.9441579,40.6781784,"Sixpoint Craft Ales"
"559",0.047,50,1962,"Sensi Harvest","American Pale Ale (APA)",46,12,"Brooklyn"," NY",-73.9441579,40.6781784,"Sixpoint Craft Ales"
"560",0.099,111,1696,"Hi-Res","American Double / Imperial IPA",46,12,"Brooklyn"," NY",-73.9441579,40.6781784,"Sixpoint Craft Ales"
"561",0.067,74,1591,"Autumnation (2013)","American IPA",46,16,"Brooklyn"," NY",-73.9441579,40.6781784,"Sixpoint Craft Ales"
"562",0.064,62,1385,"Bengali Tiger","American IPA",46,16,"Brooklyn"," NY",-73.9441579,40.6781784,"Sixpoint Craft Ales"
"563",0.052,11,630,"Apollo","American Pale Wheat Ale",46,16,"Brooklyn"," NY",-73.9441579,40.6781784,"Sixpoint Craft Ales"
"564",0.091,103,628,"Resin","American Double / Imperial IPA",46,12,"Brooklyn"," NY",-73.9441579,40.6781784,"Sixpoint Craft Ales"
"565",0.064,62,422,"Bengali Tiger (2011)","American IPA",46,16,"Brooklyn"," NY",-73.9441579,40.6781784,"Sixpoint Craft Ales"
"566",0.068,65,1521,"Modus Hoperandi","American IPA",264,12,"Durango"," CO",-107.8800667,37.27528,"Ska Brewing Company"
"567",0.068,65,67,"Modus Hoperandi","American IPA",264,12,"Durango"," CO",-107.8800667,37.27528,"Ska Brewing Company"
